City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,calvinia,-31.4707,19.776,14.48,93,100,4.76,ZA,1700531907
409,rabo de peixe,37.8,-25.5833,19.99,99,20,5.14,PT,1700531908
410,kone,-21.0595,164.8658,29.93,43,0,3.89,NC,1700531909
411,tarhuna,32.435,13.6332,14.44,47,1,3.28,LY,1700531909
412,mitu,1.1983,-70.1733,24.84,88,72,1.07,CO,1700531910
413,burlington,39.8835,-74.6413,7.05,62,75,0.0,US,1700531712
414,baoqing,46.3317,132.2111,1.07,92,97,3.63,CN,1700531912
415,lichinga,-13.3128,35.2406,21.05,64,75,6.71,MZ,1700531912
416,louisville,38.2542,-85.7594,12.53,75,20,4.12,US,1700531802
417,forster,-32.1667,152.5167,24.05,74,54,3.24,AU,1700531914
418,kurume,33.3167,130.5167,18.97,31,0,1.29,JP,1700531914
419,tebingtinggi,3.3285,99.1625,24.8,93,100,3.11,ID,1700531915
420,solwezi,-12.1688,26.3894,17.17,87,86,1.36,ZM,1700531916
421,kodiak,57.79,-152.4072,-1.27,59,40,8.75,US,1700531916
422,sao jose da coroa grande,-8.8978,-35.1478,25.42,82,0,3.99,BR,1700531917
423,chonchi,-42.6128,-73.8092,8.56,96,44,2.66,CL,1700531918
424,beya,53.0533,90.9139,-8.55,78,82,4.04,RU,1700531919
425,alta sierra,35.7291,-118.5495,4.5,20,0,2.95,US,1700531920
426,susehri,40.1644,38.0867,1.53,90,100,2.3,TR,1700531920
427,camalu,30.85,-116.0667,18.7,59,0,1.4,MX,1700531921
428,punta del este,-34.9667,-54.95,24.42,59,0,2.06,UY,1700531922
429,pacific grove,36.6177,-121.9166,15.99,65,0,3.13,US,1700531686
430,kasongo-lunda,-6.4667,16.8167,21.75,100,100,0.71,CD,1700531923
431,slantsy,59.1182,28.0914,-4.85,90,100,1.27,RU,1700531923
432,polyarnyy,69.1989,33.4478,-12.69,98,59,4.16,RU,1700531924
433,lucapa,-8.4192,20.7447,19.48,99,100,1.46,AO,1700531925
434,sadovoye,47.7764,44.5089,6.78,89,100,5.38,RU,1700531925
435,kerema,-7.9631,145.7785,29.88,71,73,4.48,PG,1700531926
436,wagga wagga,-35.1167,147.3667,28.8,26,74,3.11,AU,1700531926
437,colac,-38.3333,143.5833,20.09,35,54,1.27,AU,1700531927
438,amga,60.8953,131.9608,-14.28,91,100,4.7,RU,1700531928
439,ambatondrazaka,-17.8333,48.4167,15.59,85,100,0.9,MG,1700531928
440,agat village,13.3886,144.6585,31.87,79,75,4.12,GU,1700531929
441,saint-felicien,48.6501,-72.4491,-5.62,68,100,3.09,CA,1700531929
442,kapuskasing,49.4169,-82.4331,-5.0,58,0,4.12,CA,1700531930
443,remedios,22.4947,-79.5458,23.79,84,2,5.25,CU,1700531931
444,ibia,-19.4783,-46.5389,22.7,76,92,1.54,BR,1700531931
445,sitka,57.0531,-135.33,5.94,70,100,8.23,US,1700531932
446,huangpi,30.8845,114.3779,15.06,63,0,2.0,CN,1700531932
447,suntar,62.1444,117.6319,-19.08,93,100,3.11,RU,1700531933
448,kangding,30.0513,101.9603,13.41,39,18,1.18,CN,1700531934
449,campoverde,-8.4753,-74.8058,24.83,76,78,0.76,PE,1700531934
450,mossendjo,-2.9506,12.7261,20.82,99,100,0.59,CG,1700531935
451,werl,51.55,7.9167,8.15,93,99,0.4,DE,1700531935
452,ketchikan,55.3422,-131.6461,11.26,76,100,15.43,US,1700531936
453,san matias,-16.3667,-58.4,24.94,83,100,1.09,BO,1700531937
